system,seed,cpu_mode,cpu_affinity_core,selected_checkpoint_source,selected_episode,selected_success_rate,selected_override_rate,selected_safety_violation_rate,final_checkpoint_safe,train_seconds,training_peak_rss_mb,eval_success_rate,eval_override_rate,eval_safety_violation_rate,test_success_rate,test_override_rate,test_safety_violation_rate,test_mean_episode_steps,test_n_steps,policy_us_mean,policy_us_p99,shield_us_mean,shield_us_p99,total_us_mean,total_us_p99
mixing,46,aggressive,,safe_eval,100,1.0,0.14859926918392205,0.0,True,125.89939618110657,96.01953125,1.0,0.13553768245457254,0.0,1.0,0.15350223546944858,0.0,33.55,6710,64.58907168405365,91.6176,21.950592846497766,77.3142,98.35879418777942,171.47980999999993
mixing,47,aggressive,,safe_eval,100,1.0,0.16284052647689012,0.0,True,138.51541781425476,97.875,1.0,0.18511627906976744,0.0,1.0,0.16734565966781573,0.0,31.91,6382,40.82005108116578,75.85729999999997,15.669659197743654,65.00648999999997,63.565620808523974,135.44409999999996
mixing,48,aggressive,,safe_eval,100,1.0,0.1702728127939793,0.0,True,132.47625994682312,96.9453125,1.0,0.1909328683522232,0.0,1.0,0.16586333994896513,0.0,35.27,7054,53.98119960306209,84.82037000000004,19.761236178055004,72.29580000000001,83.17525219733484,155.98193
mixing,49,aggressive,,safe_eval,100,1.0,0.10352609308885755,0.0,True,137.38394856452942,96.484375,1.0,0.09977641140301845,0.0,1.0,0.0898876404494382,0.0,33.82,6764,44.180082199881724,73.74307,14.366466144293318,65.02103,66.13134506209343,135.73696999999999
mixing,50,aggressive,,safe_eval,100,1.0,0.09154723603392804,0.0,True,128.96612310409546,95.9296875,1.0,0.10154394299287411,0.0,1.0,0.1028837488735356,0.0,33.29,6658,60.92015259837789,90.76060000000001,18.214132472213876,68.85347,90.28032021628117,158.61880000000005
mixing,51,aggressive,,safe_eval,100,1.0,0.18601964182553438,0.0,True,136.11064910888672,97.59765625,1.0,0.17457976997935712,0.0,1.0,0.17995240928019035,0.0,33.62,6724,50.62496192742415,80.32509999999998,18.681951814396193,68.04449999999993,78.39964024390244,152.07739999999987
mixing,52,aggressive,,safe_eval,100,1.0,0.11026500152299726,0.0,True,128.07369232177734,96.3203125,1.0,0.09720944495553512,0.0,1.0,0.1177074171797127,0.0,34.11,6822,63.02654045734389,92.74799,19.138339489885663,73.3806,93.62829595426561,169.4289
mixing,53,aggressive,,safe_eval,100,1.0,0.20133296306581505,0.0,True,136.4955222606659,97.21484375,1.0,0.21782496782496782,0.0,1.0,0.19197707736389685,0.0,33.155,6631,50.58801598552254,82.44899999999998,18.793041773488163,67.50999999999999,78.33124958528127,153.9253
mixing,54,aggressive,,safe_eval,100,1.0,0.156317578004325,0.0,True,126.46794962882996,97.0,1.0,0.13968158606188044,0.0,1.0,0.15767949106331414,0.0,33.01,6602,62.22533171766132,89.44859999999997,22.373586791881245,76.06127999999991,95.91173311117845,171.79398999999978
mixing,55,aggressive,,safe_eval,100,1.0,0.21163682864450128,0.0,True,136.46846294403076,96.35546875,1.0,0.18808777429467086,0.0,1.0,0.21341193809874723,0.0,33.925,6785,48.552083271923365,77.93715999999996,19.154861606484893,67.24716,76.09806735445837,146.00295999999997
mixing,56,aggressive,,safe_eval,100,1.0,0.1388336646785951,0.0,True,127.44566416740417,94.9921875,1.0,0.17404963870562362,0.0,1.0,0.14496541122213683,0.0,32.525,6505,62.764159569561876,92.07000000000001,21.60877355880092,76.07960000000001,95.85204289008455,182.5198800000001
mixing,57,aggressive,,safe_eval,100,1.0,0.14516602997355274,0.0,True,139.22542524337769,97.32421875,1.0,0.19705882352941176,0.0,1.0,0.16139569413511506,0.0,33.675,6735,33.94151031922791,69.5418,13.392249294729027,63.52014,53.036677060133634,127.20039999999992
mixing,58,aggressive,,safe_eval,100,1.0,0.14201550387596898,0.0,True,135.92374777793884,97.25,1.0,0.14212513484358144,0.0,1.0,0.1365151515151515,0.0,33.0,6600,47.23610318181817,77.12710000000003,16.585290606060607,67.79890000000002,72.06283393939394,143.97360000000003
mixing,59,aggressive,,safe_eval,100,1.0,0.018518518518518517,0.0,True,286.6375675201416,96.15625,1.0,0.018740399385560675,0.0,1.0,0.01963615362402541,0.0,34.63,6926,28.722288766965058,39.986,8.083029887380883,36.37625,41.47365160265666,69.141
mixing,60,aggressive,,safe_eval,100,1.0,0.11455565397106585,0.0,True,130.00503730773926,96.15234375,1.0,0.13670411985018727,0.0,1.0,0.12168004941321804,0.0,32.38,6476,63.19029786905497,94.37325000000001,19.428775941939467,74.70425,94.11077130945027,167.923
