system,seed,cpu_mode,cpu_affinity_core,episodes,total_steps,success_rate,safety_violation_rate,override_rate,final_checkpoint_safe,policy_us_mean,policy_us_p95,policy_us_p99,shield_us_mean,shield_us_p95,shield_us_p99,total_us_mean,total_us_p95,total_us_p99,inference_peak_rss_mb,eval_seconds,test_seconds
mixing,43,aggressive,,200,6427,1.0,0.0,0.109537887039054,True,66.33105383538198,82.698,94.79487999999985,20.39859561226077,65.471,71.71266,99.25618655671387,146.157,187.7140399999994,78.76953125,2.2676191329956055,4.3223936557769775
mixing,44,aggressive,,200,6617,1.0,0.0,0.16291370711802933,True,66.09429424210367,82.929,95.20560000000002,22.529826960858394,67.342,72.73320000000001,101.00776530149614,151.7198,187.93328000000017,79.83984375,2.295436143875122,4.444104909896851
mixing,45,aggressive,,200,6694,1.0,0.0,0.12503734687780102,True,66.41347101882283,83.91949999999999,95.3152699999999,20.25360785778309,64.87235,70.53533,99.02863310427247,146.65714999999992,172.73546999999996,80.0078125,2.2491724491119385,4.412704944610596
mixing,46,aggressive,,200,6710,1.0,0.0,0.15350223546944858,True,66.59168748137108,83.24349999999998,92.89989999999996,22.179172727272725,67.29249999999999,72.90169999999999,101.23501281669151,152.72299999999993,181.02399999999997,79.8984375,2.25150728225708,4.4866156578063965
mixing,47,aggressive,,200,6382,1.0,0.0,0.16734565966781573,True,66.92985537449076,83.799,96.00058999999989,22.197077561892826,67.58699999999999,72.80749999999998,101.51917596364777,152.83895,180.9091799999997,79.4375,2.1521384716033936,4.312451124191284
mixing,48,aggressive,,200,7054,1.0,0.0,0.16586333994896513,True,65.67311227672242,82.35649999999998,90.30210000000002,21.918516869861072,65.93849999999999,71.20380000000002,99.69213793592289,148.972,171.99537000000004,79.4921875,2.3171849250793457,4.661523103713989
mixing,49,aggressive,,200,6764,1.0,0.0,0.0898876404494382,True,67.37726685393258,84.05699999999999,99.29719999999998,19.088712004730926,64.62134999999999,71.7393,98.88680026611473,144.84734999999998,173.8875,79.25390625,2.316372871398926,4.517839670181274
mixing,50,aggressive,,200,6658,1.0,0.0,0.1028837488735356,True,64.60616431360769,81.144,89.86276000000029,18.66430429558426,62.64815,70.22590000000001,95.04830594773206,139.11984999999999,163.7729,80.22265625,2.215939521789551,4.299781560897827
mixing,51,aggressive,,200,6724,1.0,0.0,0.17995240928019035,True,64.61196966091612,82.26365,91.78236999999991,22.130889797739442,66.6545,71.49759999999996,98.5914275728733,151.00249999999994,169.92679999999987,79.40625,2.2474424839019775,4.319804430007935
mixing,52,aggressive,,200,6822,1.0,0.0,0.1177074171797127,True,65.1811593374377,81.65305,89.75479999999999,19.660273673409556,64.52,71.2929,97.14688683670478,144.07145,170.68379,79.90625,2.1460256576538086,4.379575490951538
mixing,53,aggressive,,200,6631,1.0,0.0,0.19197707736389685,True,65.03954969084602,82.481,91.14169999999997,23.49617508671392,66.93700000000001,71.9883,100.5429606394209,150.079,171.62899999999996,79.05078125,2.113913059234619,4.279641389846802
mixing,54,aggressive,,200,6602,1.0,0.0,0.15767949106331414,True,65.91764389578915,82.63555,92.37409999999998,21.70052968797334,66.41494999999999,71.60598999999999,99.74277309906088,150.624,171.48399999999998,79.43359375,2.2188045978546143,4.271109104156494
mixing,55,aggressive,,200,6785,1.0,0.0,0.21341193809874723,True,59.964068091378046,80.6328,87.36156,22.130015770081062,64.89899999999999,70.7588,93.08271834929992,143.97699999999995,166.135,79.30078125,2.365065097808838,4.027804136276245
mixing,56,aggressive,,200,6505,1.0,0.0,0.14496541122213683,True,62.01377033051499,81.675,88.24340000000001,20.183131898539582,65.464,70.17020000000001,93.62732113758648,146.2427999999999,164.8312,79.640625,2.1847898960113525,3.954070568084717
